Seq,DateListed,年度,族語方言別,級別,報名人數,應試人數,通過人數
100,"20211006","109","郡群布農語","優級","51","34","0"
101,"20211006","109","知本卑南語","初級","43","30","9"
102,"20211006","109","知本卑南語","中級","26","17","7"
103,"20211006","109","知本卑南語","中高級","7","5","0"
104,"20211006","109","知本卑南語","高級","4","2","2"
105,"20211006","109","知本卑南語","優級","0","0","0"
106,"20211006","109","南王卑南語","初級","85","71","38"
107,"20211006","109","南王卑南語","中級","76","61","45"
108,"20211006","109","南王卑南語","中高級","38","29","3"
109,"20211006","109","南王卑南語","高級","6","4","0"
110,"20211006","109","南王卑南語","優級","7","6","0"
111,"20211006","109","西群卑南語","初級","132","99","43"
112,"20211006","109","西群卑南語","中級","56","44","37"
113,"20211006","109","西群卑南語","中高級","25","19","1"
114,"20211006","109","西群卑南語","高級","6","5","1"
115,"20211006","109","西群卑南語","優級","5","5","0"
116,"20211006","109","建和卑南語","初級","24","15","11"
117,"20211006","109","建和卑南語","中級","35","25","20"
118,"20211006","109","建和卑南語","中高級","13","8","4"
119,"20211006","109","建和卑南語","高級","6","5","3"
120,"20211006","109","建和卑南語","優級","0","0","0"
121,"20211006","109","霧臺魯凱語","初級","196","153","86"
122,"20211006","109","霧臺魯凱語","中級","159","127","85"
123,"20211006","109","霧臺魯凱語","中高級","81","55","8"
124,"20211006","109","霧臺魯凱語","高級","12","8","0"
125,"20211006","109","霧臺魯凱語","優級","11","10","1"
126,"20211006","109","東魯凱語","初級","60","49","12"
127,"20211006","109","東魯凱語","中級","36","26","5"
128,"20211006","109","東魯凱語","中高級","20","11","1"
129,"20211006","109","東魯凱語","高級","0","0","0"
130,"20211006","109","東魯凱語","優級","1","1","0"
131,"20211006","109","多納魯凱語","初級","22","19","6"
132,"20211006","109","多納魯凱語","中級","32","26","24"
133,"20211006","109","多納魯凱語","中高級","5","4","0"
134,"20211006","109","多納魯凱語","高級","6","6","2"
135,"20211006","109","多納魯凱語","優級","1","1","0"
136,"20211006","109","萬山魯凱語","初級","19","16","11"
137,"20211006","109","萬山魯凱語","中級","15","12","9"
138,"20211006","109","萬山魯凱語","中高級","13","10","2"
139,"20211006","109","萬山魯凱語","高級","4","3","0"
140,"20211006","109","萬山魯凱語","優級","1","1","0"
141,"20211006","109","茂林魯凱語","初級","57","46","23"
142,"20211006","109","茂林魯凱語","中級","24","19","17"
143,"20211006","109","茂林魯凱語","中高級","12","8","2"
144,"20211006","109","茂林魯凱語","高級","3","1","0"
145,"20211006","109","茂林魯凱語","優級","2","0","0"
146,"20211006","109","大武魯凱語","初級","16","12","7"
147,"20211006","109","大武魯凱語","中級","11","10","7"
148,"20211006","109","大武魯凱語","中高級","6","3","1"
149,"20211006","109","大武魯凱語","高級","0","0","0"
150,"20211006","109","大武魯凱語","優級","2","2","0"
151,"20211006","109","鄒語","初級","175","140","87"
152,"20211006","109","鄒語","中級","130","111","96"
153,"20211006","109","鄒語","中高級","65","52","5"
154,"20211006","109","鄒語","高級","17","11","4"
155,"20211006","109","鄒語","優級","5","5","2"
156,"20211006","109","賽夏語","初級","165","130","49"
157,"20211006","109","賽夏語","中級","98","76","50"
158,"20211006","109","賽夏語","中高級","39","32","6"
159,"20211006","109","賽夏語","高級","17","14","3"
160,"20211006","109","賽夏語","優級","4","4","0"
161,"20211006","109","雅美語","初級","130","112","42"
162,"20211006","109","雅美語","中級","120","90","77"
163,"20211006","109","雅美語","中高級","39","27","7"
164,"20211006","109","雅美語","高級","11","4","0"
165,"20211006","109","雅美語","優級","6","4","2"
166,"20211006","109","邵語","初級","39","34","16"
167,"20211006","109","邵語","中級","7","5","3"
168,"20211006","109","邵語","中高級","4","1","0"
169,"20211006","109","邵語","高級","3","3","2"
170,"20211006","109","邵語","優級","0","0","0"
171,"20211006","109","噶瑪蘭語","初級","45","40","14"
172,"20211006","109","噶瑪蘭語","中級","19","10","3"
173,"20211006","109","噶瑪蘭語","中高級","11","7","0"
174,"20211006","109","噶瑪蘭語","高級","7","7","1"
175,"20211006","109","噶瑪蘭語","優級","5","3","0"
176,"20211006","109","太魯閣語","初級","1006","708","243"
177,"20211006","109","太魯閣語","中級","715","537","320"
178,"20211006","109","太魯閣語","中高級","155","95","10"
179,"20211006","109","太魯閣語","高級","43","30","0"
180,"20211006","109","太魯閣語","優級","26","19","0"
181,"20211006","109","撒奇萊雅語","初級","28","23","14"
182,"20211006","109","撒奇萊雅語","中級","28","23","16"
183,"20211006","109","撒奇萊雅語","中高級","27","21","5"
184,"20211006","109","撒奇萊雅語","高級","13","12","2"
185,"20211006","109","撒奇萊雅語","優級","5","4","1"
186,"20211006","109","都達語","初級","150","124","61"
187,"20211006","109","都達語","中級","113","84","64"
188,"20211006","109","都達語","中高級","33","21","2"
189,"20211006","109","都達語","高級","3","2","0"
190,"20211006","109","都達語","優級","4","2","0"
191,"20211006","109","德固達雅語","初級","124","98","42"
192,"20211006","109","德固達雅語","中級","79","68","50"
193,"20211006","109","德固達雅語","中高級","32","25","7"
194,"20211006","109","德固達雅語","高級","10","7","0"
195,"20211006","109","德固達雅語","優級","5","5","0"
196,"20211006","109","德路固語","初級","151","117","57"
197,"20211006","109","德路固語","中級","107","88","63"
198,"20211006","109","德路固語","中高級","30","24","2"
199,"20211006","109","德路固語","高級","11","8","1"
200,"20211006","109","德路固語","優級","3","3","0"
201,"20211006","109","拉阿魯哇語","初級","28","25","17"
202,"20211006","109","拉阿魯哇語","中級","15","10","9"
203,"20211006","109","拉阿魯哇語","中高級","8","8","1"
204,"20211006","109","拉阿魯哇語","高級","1","1","0"
205,"20211006","109","拉阿魯哇語","優級","1","1","1"
206,"20211006","109","卡那卡那富語","初級","23","19","16"
207,"20211006","109","卡那卡那富語","中級","8","8","6"
208,"20211006","109","卡那卡那富語","中高級","6","4","1"
209,"20211006","109","卡那卡那富語","高級","8","5","0"
210,"20211006","109","卡那卡那富語","優級","0","0","0"
